exp,trial,musician,riot_type,facor1_factor2,noise,amp,freq,fiability_rate
click_tempo,1,Cello,head,same_No,high,low,high,+
click_tempo,1,Piano,head,same_No,high,low,high,+
click_tempo,1,Sax,head,same_No,high,low,high,+
click_tempo,1,Clarinet,head,same_No,high,low,high,+
click_tempo,1,Drum,head,same_No,high,high,low,*
click_tempo,1,Accordion,head,same_No,low,high,high,*
click_tempo,16,Cello,head,same_No,high,high,high,-
click_tempo,16,Piano,head,same_No,high,low,low,-
click_tempo,16,Sax,head,same_No,high,high,high,-
click_tempo,16,Clarinet,head,same_No,low,low,high,*
click_tempo,16,Drum,head,same_No,high,high,low,+
click_tempo,16,Accordion,head,same_No,low,high,high,*
click_tempo,23,Cello,head,same_No,low,low,high,*
click_tempo,23,Piano,head,same_No,high,low,low,+
click_tempo,23,Sax,head,same_No,low,low,low,+
click_tempo,23,Clarinet,head,same_No,low,low,high,+
click_tempo,23,Drum,head,same_No,high,high,low,*
click_tempo,23,Accordion,head,same_No,low,high,high,*
click_tempo,28,Cello,head,same_No,high,low,high,*
click_tempo,28,Piano,head,same_No,low,low,low,+
click_tempo,28,Sax,head,same_No,low,low,high,+
click_tempo,28,Clarinet,head,same_No,low,low,low,+
click_tempo,28,Drum,head,same_No,high,high,high,*
click_tempo,28,Accordion,head,same_No,low,low,high,*
click_tempo,1,Cello,leg,same_No,low,high,low,*
click_tempo,1,Piano,leg,same_No,high,low,high,+
click_tempo,1,Sax,leg,same_No,low,high,low,*
click_tempo,1,Clarinet,leg,same_No,low,high,low,*
click_tempo,1,Drum,leg,same_No,high,low,low,+
click_tempo,1,Accordion,leg,same_No,low,high,low,*
click_tempo,16,Cello,leg,same_No,high,low,high,-
click_tempo,16,Piano,leg,same_No,high,low,high,+
click_tempo,16,Sax,leg,same_No,high,high,low,-
click_tempo,16,Clarinet,leg,same_No,low,high,low,*
click_tempo,16,Drum,leg,same_No,high,low,high,-
click_tempo,16,Accordion,leg,same_No,low,high,low,*
click_tempo,23,Cello,leg,same_No,low,high,high,*
click_tempo,23,Piano,leg,same_No,high,low,high,+
click_tempo,23,Sax,leg,same_No,high,high,low,+
click_tempo,23,Clarinet,leg,same_No,high,low,high,*
click_tempo,23,Drum,leg,same_No,high,low,high,+
click_tempo,23,Accordion,leg,same_No,low,high,high,*
click_tempo,28,Cello,leg,same_No,high,low,high,+
click_tempo,28,Piano,leg,same_No,high,low,high,+
click_tempo,28,Sax,leg,same_No,high,low,high,+
click_tempo,28,Clarinet,leg,same_No,high,low,high,*
click_tempo,28,Drum,leg,same_No,low,high,high,*
click_tempo,28,Accordion,leg,same_No,high,high,high,+
